latitude1,longitude1,supervision_level,states,lgas,ward,settlement name,hf_name,latitude2,longitude2,meta/instanceID
8.4992251,4.5430001,temporary_post,Kwara,Ilorin East,Are 1,Agbaere,M agaji Are,8.499255,4.5428096,uuid:35cb6adf-e741-4889-8a25-33f412c6adbb
8.548814,4.6546774,temporary_post,Kwara,Ilorin East,Okeoyi  oke ose,Oke ose,Model primary health care centre,8.5487324,4.6546982,uuid:91403d96-c1c0-4344-a4a3-45b72617b9a4
8.5280585,4.6166242,temporary_post,Kwara,Ilorin East,Mayaileapa,Orisunbare,Orelope clinic,8.5281567,4.6165106,uuid:caaeeb97-7e4d-4923-a86e-a4377853e41e
8.506163,4.5633886,temporary_post,Kwara,Ilorin East,Gambari 2,Ile Alhaji olorun logbon,Ojagborochealth centre,8.506238,4.5633383,uuid:516cd173-52d9-4eea-823d-912f6340564b
6.6733047,9.1704168,temporary_post,Cross River,Obudu,URBAN 1,HOSPITAL ROAD,PHC URBAN 1,6.6734193,9.1702923,uuid:ed8516c8-8d81-460f-a928-5b3b7f9334a0
8.5028201,4.5572723,temporary_post,Kwara,Ilorin East,Gambari 2,Adedo,Ababa kaŕumo health centre,8.5028061,4.5572538,uuid:b1b7f6da-a50e-4613-9158-ffd3d5cb145a
8.4716895,4.5674635,temporary_post,Kwara,Ilorin East,Are 2,Bishop Smith primary school,Fogofolu hospital,8.4718062,4.5675701,uuid:f11aac37-5f3d-4760-9fd9-496882b1af30
8.5024955,4.5664403,temporary_post,Kwara,Ilorin East,Zango,Dumo,T osho clinic and maternity,8.5025285,4.5664609,uuid:79caff98-c91a-4306-bc50-369b4e51ad75
8.5059826,4.5668888,temporary_post,Kwara,Ilorin East,Zango,Dumo isale,Ojaboro health centre,8.505984,4.5668177,uuid:1cdfa0c5-770a-4ef0-ba50-b42769a167b6
8.5211006,4.5359844,temporary_post,Kwara,Ilorin East,Ibagun,Ile mama gana,Specialist hospital alagbado,8.5210452,4.5359887,uuid:ef117ad2-e943-4dd5-b362-4537f85abc85
8.511134,4.5521018,temporary_post,Kwara,Ilorin East,Ibagun,Akerebita/alafiya tayo,Alafiya tayo clinicians ,8.5111257,4.5522072,uuid:5b6ea438-d64e-4ba7-9a28-1cec2eb0d881
8.5232101,4.5446385,temporary_post,Kwara,Ilorin East,Ibagun,Okeadini alagbado,Fatima hspital,8.5231316,4.5447737,uuid:867fc43f-a399-4010-b538-a997c69f73d6
8.5218909,4.5376257,temporary_post,Kwara,Ilorin East,Ibagun,Al mahamud,Fatimoh hpospital,8.5218126,4.5377358,uuid:a56f1cd9-49f6-41cb-8c99-049f232cff7f
6.7707014,5.0614105,temporary_post,Ondo,Odigbo,ORE2,OLORUNSOGO,Olorunsogo settlement,6.7529857,4.8712776,uuid:8fc7e17d-13f5-4a6e-b8a6-bc156c3dad85
6.7694789,5.0632845,temporary_post,Ondo,Odigbo,ORE2,ONIROGBO,MiLE9BHC,6.7535255,4.8678679,uuid:8e8228fb-f13a-4398-b704-f97d41a25c6b
7.969115,4.704063333,temporary_post,Osun,Ifelodun,Iba II,Ojomu Isale/Elemo,Temporary fixed post,7.969155,4.704078333,uuid:77cd6e41-3678-4316-bfab-c41b648d1e51
51.7812764,-1.3265687,temporary_post,Ondo,Odigbo,ORE2,ABaQueen,Mile I3,6.7535255,4.8678679,uuid:f30e0195-a460-4a42-b9ef-f46c57afaab6
4.8090878,7.0149277,temporary_post,Rivers,Ogu Bolo,1,"Opugoh, Ogu town",Temporary,4.8091349,7.0149255,uuid:000bc038-e18e-4e9b-941d-d539bfd35a15
5.382741667,8.265155,temporary_post,Cross River,Akamkpa,Uyanga,Rhoma Iren,H/C small Iwuru,5.383688333,8.26003,uuid:63976e89-dbe3-4250-b10c-2f083f28e2d3
6.9545267,7.4722183,temporary_post,Enugu,Igbo-Eze-North,Ezeodo,Amaka,Uda h/c,6.9554167,7.4723833,uuid:0cef0442-2353-4794-9913-d7580b1e1f4d
7.002235,7.461235,temporary_post,Enugu,Igbo-Eze-North,Essido 3,Umuogbu uno,Umuogbuno h/c,7.00213,7.4612567,uuid:aa95e080-d13b-42ad-9e83-022796283668
6.3426419,5.5986232,temporary_post,Edo,Oredo,Uzebu,"Agho, Uniben, Owina, uzama, Agbodo, Agboma, Erhumwunse, Oguola",Schools,6.3446687,5.598438,uuid:63ee55bb-1ba4-484d-b25c-5b41d32d216b
